"SiteUrl","LibraryName","ItemPath","ItemType","SharedWith","ShareType","SensitivityLabel","LastModified","RiskTier","BaseScore","WeightedScore","ContentCategory"
"https://contoso.sharepoint.com/sites/finance","Documents","/sites/finance/Documents/Q4-Financial-Report.xlsx","File","Anonymous","AnyoneLink","Confidential - Trading","2026-05-20","HIGH","90","90","general"
"https://contoso.sharepoint.com/sites/finance","Documents","/sites/finance/Documents/Customer-KYC-Records/","Folder","guest@external.com","ExternalUser","Highly Confidential - PII","2026-05-16","HIGH","70","105","customerPII"
"https://contoso.sharepoint.com/sites/finance","Shared Documents","/sites/finance/Shared Documents/Trading-Positions.csv","File","Organization (Edit)","OrgLink","Confidential - Trading","2026-05-22","HIGH","50","75","tradingData"
"https://contoso.sharepoint.com/sites/finance","Shared Documents","/sites/finance/Shared Documents/Internal-Memo.docx","File","Everyone except external users","BroadGroup","","2026-05-09","LOW","30","30","general"
"https://contoso.sharepoint.com/sites/finance","Legal Hold","/sites/finance/Legal Hold/Litigation-Response.pdf","File","Anonymous","AnyoneLink","Highly Confidential - Legal","2026-05-21","HIGH","90","117","legalDocuments"
"https://contoso.sharepoint.com/sites/legal","Documents","/sites/legal/Documents/Q4-Financial-Report.xlsx","File","Anonymous","AnyoneLink","Confidential - Trading","2026-05-20","HIGH","90","90","general"
"https://contoso.sharepoint.com/sites/legal","Documents","/sites/legal/Documents/Customer-KYC-Records/","Folder","guest@external.com","ExternalUser","Highly Confidential - PII","2026-05-16","HIGH","70","105","customerPII"
"https://contoso.sharepoint.com/sites/legal","Shared Documents","/sites/legal/Shared Documents/Trading-Positions.csv","File","Organization (Edit)","OrgLink","Confidential - Trading","2026-05-22","HIGH","50","75","tradingData"
"https://contoso.sharepoint.com/sites/legal","Shared Documents","/sites/legal/Shared Documents/Internal-Memo.docx","File","Everyone except external users","BroadGroup","","2026-05-09","LOW","30","30","general"
"https://contoso.sharepoint.com/sites/legal","Legal Hold","/sites/legal/Legal Hold/Litigation-Response.pdf","File","Anonymous","AnyoneLink","Highly Confidential - Legal","2026-05-21","HIGH","90","117","legalDocuments"
"https://contoso.sharepoint.com/sites/compliance","Documents","/sites/compliance/Documents/Q4-Financial-Report.xlsx","File","Anonymous","AnyoneLink","Confidential - Trading","2026-05-20","HIGH","90","90","general"
"https://contoso.sharepoint.com/sites/compliance","Documents","/sites/compliance/Documents/Customer-KYC-Records/","Folder","guest@external.com","ExternalUser","Highly Confidential - PII","2026-05-16","HIGH","70","105","customerPII"
"https://contoso.sharepoint.com/sites/compliance","Shared Documents","/sites/compliance/Shared Documents/Trading-Positions.csv","File","Organization (Edit)","OrgLink","Confidential - Trading","2026-05-22","HIGH","50","75","tradingData"
"https://contoso.sharepoint.com/sites/compliance","Shared Documents","/sites/compliance/Shared Documents/Internal-Memo.docx","File","Everyone except external users","BroadGroup","","2026-05-09","LOW","30","30","general"
"https://contoso.sharepoint.com/sites/compliance","Legal Hold","/sites/compliance/Legal Hold/Litigation-Response.pdf","File","Anonymous","AnyoneLink","Highly Confidential - Legal","2026-05-21","HIGH","90","117","legalDocuments"
